#i       dt      corr[i]   fit_chi2
0    -0.0000     0.0000    -0.0000
1    25.3044   -25.3044     0.5767
2     6.3353   -31.6397     1.4504
3   -33.8506     2.2109     1.3029
4    29.7688   -27.5579     1.1924
5    -0.7630   -26.7949     1.1887
6    -2.5495   -24.2454     1.0309
7    25.1568   -49.4022     0.9294
8   -22.1537   -27.2485     0.8331
9   -23.5521    -3.6965     0.9545
10     3.1644    -6.8609     1.3337
11    27.6229   -34.4838     0.9798
12   -30.5632    -3.9206     0.8597
13    -0.1841    -3.7365     0.8838
14     1.0000    -1.0000    -1.0000
15     1.0000    -1.0000    -1.0000
16    -5.2915     1.5550     0.7011
17    22.6257   -21.0707     1.5176
18   -25.4762     4.4054     0.9890
19     1.4225     2.9829     1.0832
20    83.2658   -80.2829     2.1389
21   -58.3890   -21.8939     1.1438
22   193.4952  -215.3891     0.7294
23   -16.0865  -199.3026     1.5221
24  -199.4681     0.1655     0.9952
25    21.0877   -20.9223     2.0406
26     0.5532   -21.4754     1.3339
27    -0.3800   -21.0955     0.4654
28    -1.6385   -19.4570     1.6644
29     0.4725   -19.9294     1.0452
30    -1.8421   -18.0874     2.1021
31   -24.6631     6.5757     2.3199
32     1.7354     4.8403     1.6967
33     2.4030     2.4373     1.8561
34    25.0807   -22.6434     0.8416
35     5.1096   -27.7530     2.6637
