TABLE CRVTime  124111-124154
#  cid 302
# channel,timeOffset
0,0.000000
1,24.249500
2,0.000000
3,24.249500
4,0.000000
5,24.249500
6,0.000000
7,24.249500
8,0.000000
9,24.249500
10,0.000000
11,24.249500
12,0.000000
13,24.249500
14,0.000000
15,24.249500
16,0.000000
17,24.249500
18,0.000000
19,24.249500
20,0.000000
21,24.249500
22,0.000000
23,24.249500
24,0.000000
25,24.249500
26,0.000000
27,24.249500
28,0.000000
29,24.249500
30,0.000000
31,24.249500
32,-0.004333
33,25.189100
34,-0.004333
35,25.189100
36,-0.004333
37,25.189100
38,-0.004333
39,25.189100
40,-0.004333
41,25.189100
42,-0.004333
43,25.189100
44,-0.004333
45,25.189100
46,-0.004333
47,25.189100
48,-0.004333
49,25.189100
50,-0.004333
51,25.189100
52,-0.004333
53,25.189100
54,-0.004333
55,25.189100
56,-0.004333
57,25.189100
58,-0.004333
59,25.189100
60,-0.004333
61,25.189100
62,-0.004333
63,25.189100
64,1.120330
65,24.974500
66,1.120330
67,24.974500
68,1.120330
69,24.974500
70,1.120330
71,24.974500
72,1.120330
73,24.974500
74,1.120330
75,24.974500
76,1.120330
77,24.974500
78,1.120330
79,24.974500
80,1.120330
81,24.974500
82,1.120330
83,24.974500
84,1.120330
85,24.974500
86,1.120330
87,24.974500
88,1.120330
89,24.974500
90,1.120330
91,24.974500
92,1.120330
93,24.974500
94,1.120330
95,24.974500
96,1.836640
97,26.104800
98,1.836640
99,26.104800
100,1.836640
101,26.104800
102,1.836640
103,26.104800
104,1.836640
105,26.104800
106,1.836640
107,26.104800
108,1.836640
109,26.104800
110,1.836640
111,26.104800
112,1.836640
113,26.104800
114,1.836640
115,26.104800
116,1.836640
117,26.104800
118,1.836640
119,26.104800
120,1.836640
121,26.104800
122,1.836640
123,26.104800
124,1.836640
125,26.104800
126,1.836640
127,26.104800
128,-0.584527
129,23.336500
130,-0.584527
131,23.336500
132,-0.584527
133,23.336500
134,-0.584527
135,23.336500
136,-0.584527
137,23.336500
138,-0.584527
139,23.336500
140,-0.584527
141,23.336500
142,-0.584527
143,23.336500
144,-0.584527
145,23.336500
146,-0.584527
147,23.336500
148,-0.584527
149,23.336500
150,-0.584527
151,23.336500
152,-0.584527
153,23.336500
154,-0.584527
155,23.336500
156,-0.584527
157,23.336500
158,-0.584527
159,23.336500
160,0.410016
161,23.496900
162,0.410016
163,23.496900
164,0.410016
165,23.496900
166,0.410016
167,23.496900
168,0.410016
169,23.496900
170,0.410016
171,23.496900
172,0.410016
173,23.496900
174,0.410016
175,23.496900
176,0.410016
177,23.496900
178,0.410016
179,23.496900
180,0.410016
181,23.496900
182,0.410016
183,23.496900
184,0.410016
185,23.496900
186,0.410016
187,23.496900
188,0.410016
189,23.496900
190,0.410016
