TABLE TrkPreampStraw  107000-200000
    0,       0.0000,   0,   12.0,   0,  12.0, 1528000.0
    1,      -2.8215,   0,   12.0,   0,  12.0, 1528000.0
    2,      18.8112,   0,   12.0,   0,  12.0, 1528000.0
    3,       0.0000,   0,   12.0,   0,  12.0, 1528000.0
    4,       2.5958,   0,   12.0,   0,  12.0, 1528000.0
    5,       2.5335,   0,   12.0,   0,  12.0, 1528000.0
    6,       0.0000,   0,   12.0,   0,  12.0, 1528000.0
    7,      -1.0698,   0,   12.0,   0,  12.0, 1528000.0
    8,       1.0507,   0,   12.0,   0,  12.0, 1528000.0
    9,      -4.1883,   0,   12.0,   0,  12.0, 1528000.0
   10,       2.4870,   0,   12.0,   0,  12.0, 1528000.0
   11,       2.0736,   0,   12.0,   0,  12.0, 1528000.0
   12,      -1.8657,   0,   12.0,   0,  12.0, 1528000.0
   13,       0.0870,   0,   12.0,   0,  12.0, 1528000.0
   14,       0.3241,   0,   12.0,   0,  12.0, 1528000.0
   15,       0.0000,   0,   12.0,   0,  12.0, 1528000.0
   16,       4.0924,   0,   12.0,   0,  12.0, 1528000.0
   17,       1.6892,   0,   12.0,   0,  12.0, 1528000.0
   18,      -2.3030,   0,   12.0,   0,  12.0, 1528000.0
   19,      -0.0964,   0,   12.0,   0,  12.0, 1528000.0
   20,       0.7537,   0,   12.0,   0,  12.0, 1528000.0
   21,      -2.0673,   0,   12.0,   0,  12.0, 1528000.0
   22,       2.5168,   0,   12.0,   0,  12.0, 1528000.0
   23,       0.8261,   0,   12.0,   0,  12.0, 1528000.0
   24,       4.8601,   0,   12.0,   0,  12.0, 1528000.0
   25,       2.0959,   0,   12.0,   0,  12.0, 1528000.0
   26,       6.8820,   0,   12.0,   0,  12.0, 1528000.0
   27,       2.2697,   0,   12.0,   0,  12.0, 1528000.0
   28,       2.0469,   0,   12.0,   0,  12.0, 1528000.0
   29,       1.6120,   0,   12.0,   0,  12.0, 1528000.0
   30,      -2.5896,   0,   12.0,   0,  12.0, 1528000.0
   31,      -2.3310,   0,   12.0,   0,  12.0, 1528000.0
   32,      -0.2338,   0,   12.0,   0,  12.0, 1528000.0
   33,      -2.9584,   0,   12.0,   0,  12.0, 1528000.0
   34,       1.0649,   0,   12.0,   0,  12.0, 1528000.0
   35,       3.5098,   0,   12.0,   0,  12.0, 1528000.0
   36,      -2.5773,   0,   12.0,   0,  12.0, 1528000.0
   37,      -1.3334,   0,   12.0,   0,  12.0, 1528000.0
   38,       2.7769,   0,   12.0,   0,  12.0, 1528000.0
   39,      -1.8219,   0,   12.0,   0,  12.0, 1528000.0
   40,       1.9801,   0,   12.0,   0,  12.0, 1528000.0
   41,       1.1745,   0,   12.0,   0,  12.0, 1528000.0
   42,      -4.2848,   0,   12.0,   0,  12.0, 1528000.0
   43,      -2.4410,   0,   12.0,   0,  12.0, 1528000.0
   44,       1.7897,   0,   12.0,   0,  12.0, 1528000.0
   45,       1.7156,   0,   12.0,   0,  12.0, 1528000.0
   46,       1.3169,   0,   12.0,   0,  12.0, 1528000.0
   47,       3.5278,   0,   12.0,   0,  12.0, 1528000.0
   48,      -1.5045,   0,   12.0,   0,  12.0, 1528000.0
   49,      -0.5719,   0,   12.0,   0,  12.0, 1528000.0
   50,       0.9917,   0,   12.0,   0,  12.0, 1528000.0
   51,      -3.0772,   0,   12.0,   0,  12.0, 1528000.0
