#i       dt      corr[i]   fit_chi2
 0    -0.0000     0.0000    -0.0000
 1     4.2315    -4.2315     0.6952
 2     5.2219    -9.4534     0.8604
 3   -19.6127    10.1592     0.4383
 4    16.0208    -5.8616     0.8539
 5     3.8969    -9.7585     0.6193
 6     9.7407   -19.4991     0.7938
 7     5.8849   -25.3841     1.5726
 8   152.9962  -178.3803     1.4764
 9  -349.6140   171.2337     0.8794
10   167.5338     3.6999     0.8462
11     9.6176    -5.9177     0.5133
12   -20.4742    14.5565     1.0386
13    -1.2755    15.8321     0.7637
14     1.0000    -1.0000    -1.0000
15     1.0000    -1.0000    -1.0000
16     2.8262    13.0059     0.8361
17    14.6406    -1.6348     1.2028
18   -15.4524    13.8176     2.0066
19    -4.3453    18.1629     1.6064
20    -0.9414    19.1043     0.4025
21    19.7463    -0.6420     1.5519
22     7.3955    -8.0375     1.1951
23    10.4340   -18.4715     1.2349
24   -18.8524     0.3809     0.7624
25     3.9323    -3.5515     1.3677
26    10.3698   -13.9212     0.8458
27    -5.2801    -8.6411     3.9752
28   -10.2664     1.6253     0.7403
29     5.4252    -3.7999     1.3101
30    -4.6776     0.8776     1.6142
31    -0.4416     1.3193     2.2332
32   -10.2473    11.5666     1.2911
33    -5.0931    16.6597     1.8610
34    25.5061    -8.8464     1.1309
35    -0.0448    -8.8016     1.3781
