TABLE CalTimeCalib 123680
# corrections to  CalTimeCalib cid= XXX, to be subtracted 
# sipmid     dT      sigma      chi2
  308      4.611     6.663     0.407
  309      4.838     6.331     0.476
  310      5.056     5.044     0.224
  311      5.267     5.079     0.175
  312      0.000     0.000    -1.000
  313      0.000     0.000    -1.000
  314      6.667     6.871     0.652
  315      6.915     6.866     0.586
  316      7.238     8.420     0.984
  317      6.286     4.953     0.128
  318      6.073     4.485     0.221
  319      0.000     0.000    -1.000
  320      5.800     5.049     0.369
  321      0.000     0.000    -1.000
  322      6.478     6.034     0.466
  323   -503.769     5.713     0.398
  324      6.892     7.780     0.521
  325      7.727     8.995     0.604
  326      0.000     0.000    -1.000
  327      7.638     7.123     0.273
  328      0.000     0.000    -1.000
  329     10.441    10.666     0.735
  330      9.154     6.584     0.672
  331      9.980     9.078     1.059
  332      8.143     5.980     0.472
  333      8.510     6.201     0.501
  334     10.381     9.666     1.429
  335      9.952     9.742     1.267
  336      0.000     0.000    -1.000
  337      9.667     9.789     0.811
  338      0.000     0.000    -1.000
  339      9.045     4.011     0.233
  340      8.394     6.391     0.352
  341      0.000     0.000    -1.000
  342     10.222     9.119     0.989
  343      0.000     0.000    -1.000
  344      0.000     0.000    -1.000
  345     11.528    10.183     1.431
  346      0.000     0.000    -1.000
  347      7.471     6.039     0.150
  348     10.872     5.290     0.410
  349     10.667     5.632     0.282
  350     10.349     5.098     0.212
  351     10.455     5.175     0.145
  352     11.933     8.910     0.880
  353     12.826    11.684     1.313
  354      0.000     0.000    -1.000
  355     14.296    12.197     1.325
  356      0.000     0.000    -1.000
  357      0.000     0.000    -1.000
  358     13.449     9.296     1.546
  359     13.000     9.521     1.670
  360     11.151     7.670     0.882
  361     11.111     7.236     0.917
  362     10.690     8.169     0.844
  363     11.069     8.145     0.923
  364     12.846     5.172     0.314
  365     14.368     9.477     1.583
  366     13.510     8.748     1.181
  367     14.661    11.008     1.460
  368     15.980     7.735     0.809
  369     15.353     7.917     0.854
  370      0.000     0.000    -1.000
  371     10.170     5.859     0.465
  372      0.000     0.000    -1.000
  373     12.246     7.192     1.391
  374     -9.724     8.352     1.218
  375    -10.263     8.514     1.199
  376    -11.066     8.137     0.738
  377    -10.138     9.938     1.253
  378    -14.000     8.536     0.969
  379    -13.400     7.787     0.455
  380    -11.596     5.531     0.205
  381    -11.926     6.155     0.394
  382    -11.000    10.842     1.298
  383    -11.302    10.805     1.482
  384    -13.192     6.898     0.535
  385    -11.808     9.625     1.063
  386     -8.880     9.230     0.881
  387    -10.787     7.497     0.573
  388     -5.227     9.622     0.847
  389     -5.578     9.518     1.014
  390     -4.270     9.342     1.656
  391     -4.933     9.872     1.251
  392     -3.533     5.031     0.161
  393     -3.667     5.094     0.147
  394     -3.954    10.579     0.992
  395     -3.531    11.799     1.361
  396      0.000     0.000    -1.000
  397      0.000     0.000    -1.000
  398     -5.212     8.305     1.190
  399     -4.735     9.311     1.892
  400     -6.692     8.098     0.745
  401     -6.686     8.130     0.944
  402     -3.846     8.877     1.005
  403     -3.000     9.148     1.187
  404     -5.976     7.218     0.633
  405     -6.244     6.763     0.609
  406     -5.821     7.148     0.470
  407     -4.509     8.537     1.030
  408     -5.791    10.714     1.377
  409     -5.292    11.068     1.095
  410    -10.238     9.570     0.745
  411    -10.130     9.171     0.691
  412     -6.724     7.569     0.854
  413     -6.965     6.104     0.312
  414     -6.368    10.085     0.989
  415     -6.611    10.487     0.874
  416     -6.155    11.698     1.280
  417     -5.344    13.375     1.597
  418     -2.837    13.913     1.717
  419     -7.619     6.117     0.375
  420     -5.410     8.958     0.625
  421     -3.029    13.026     1.399
  422     -6.318     9.023     1.217
  423      0.000     0.000    -1.000
  424      0.000     0.000    -1.000
  425      0.000     0.000    -1.000
  426      0.000     0.000    -1.000
  427      0.000     0.000    -1.000
  428     -8.538     6.218     0.265
  429     -6.459     9.376     0.931
  430     -9.467     6.401     0.494
  431     -9.067     6.398     0.839
  432    -10.067     5.105     0.242
  433     -9.429     5.081     0.264
  434     -6.415     7.767     0.648
  435      0.000     0.000    -1.000
  436     -8.476     5.452     0.363
  437     -8.902     5.673     0.402
  438     -8.966     7.649     1.115
  439     -8.000     7.603     1.310
  440     -8.000     8.621     1.372
  441     -8.018     8.707     1.457
  442   -504.622    11.167     1.615
  443   -163.868    10.334     1.374
  444   -506.313     8.961     2.029
  445   -167.686     7.154     1.321
  446   -511.781     5.263     0.489
  447      0.000     0.000    -1.000
  448   -173.678     8.726     1.226
  449   -340.034    11.107     1.366
  450   -171.961    10.659     1.589
  451    156.036     8.685     1.373
  452   -173.000    10.125     1.757
  453    156.224     8.129     1.128
  454   -349.238     6.931     0.465
  455      0.000     0.000    -1.000
  456    146.608    11.178     1.758
  457      0.000     0.000    -1.000
  458    154.286    11.776     1.378
  459      0.000     0.000    -1.000
  460      0.000     0.000    -1.000
  461      0.000     0.000    -1.000
  462      5.286     4.588     0.322
  463      5.636     4.761     0.359
  464      8.760    11.126     1.672
  465      8.001    12.008     1.836
  466      7.793     9.217     1.522
  467      7.542     7.713     0.971
  468      7.267    12.099     1.248
  469      0.000     0.000    -1.000
  470      6.710     7.678     0.673
  471      6.438     7.462     0.651
  472      7.361     7.138     0.961
  473      8.167     9.130     1.196
  474      6.860     7.053     0.719
  475      7.091     7.057     0.769
  476      0.000     0.000    -1.000
  477      0.000     0.000    -1.000
  478      5.489     6.037     0.620
  479      5.476    10.919     1.235
  480      5.735     8.453     1.208
  481      6.375     9.230     1.229
  482      6.280     4.376     0.302
  483      6.913     4.771     0.239
  484      5.400     4.271     0.198
  485      5.513     3.754     0.215
  486      6.574     9.867     1.160
  487      5.439     6.544     0.510
  488      7.963     8.499     1.242
  489      0.000     0.000    -1.000
  490      6.750     5.768     0.309
  491      0.000     0.000    -1.000
  492      0.000     0.000    -1.000
  493      0.000     0.000    -1.000
  494      7.200     5.758     0.268
  495      0.000     0.000    -1.000
  496      5.727     6.890     0.318
  497      5.222     4.937     0.196
  498      0.000     0.000    -1.000
  499      7.062     5.841     0.237
  500      0.000     0.000    -1.000
  501      7.903     5.605     0.321
  502      8.714     7.245     0.363
  503      8.467     7.464     0.450
  504      8.875     7.016     0.303
  505      9.125     6.871     0.347
  506     11.778     8.276     0.431
  507     10.000     6.572     0.237
  508      0.000     0.000    -1.000
  509      0.000     0.000    -1.000
  510      0.000     0.000    -1.000
  511      7.799    12.014     0.891
  512     11.886    11.740     1.119
  513      0.000     0.000    -1.000
  514     11.537     5.810     0.345
  515      0.000     0.000    -1.000
  516      0.000     0.000    -1.000
  517     11.049     9.792     0.858
  518      0.000     0.000    -1.000
  519      0.000     0.000    -1.000
  520      9.522     5.992     0.222
  521     10.333     7.814     0.883
  522     10.304     5.025     0.235
  523     10.273     5.064     0.290
  524     10.373     7.079     0.818
  525     12.965    12.040     1.784
  526      0.000     0.000    -1.000
  527     10.964     9.013     1.323
  528      0.000     0.000    -1.000
  529     11.655    10.987     1.407
  530     13.359     7.370     0.776
  531      0.000     0.000    -1.000
  532     12.149     4.342     0.154
  533     12.022     4.229     0.119
  534     12.243     5.247     0.266
  535     11.649     5.072     0.258
  536      0.000     0.000    -1.000
  537     12.931     9.329     0.792
  538     12.656    10.860     1.475
  539     13.182    12.056     1.964
  540     13.172     8.679     1.317
  541     12.167     8.666     1.221
  542     12.778     8.358     0.980
  543     12.309     8.101     0.930
  544     13.889     8.770     1.154
  545     12.729     6.425     0.546
  546     10.367     5.470     0.946
  547      0.000     0.000    -1.000
  548      0.000     0.000    -1.000
  549     14.182     8.605     1.458
  550    -10.023     8.096     0.815
  551    -10.163     7.968     1.047
  552    -11.367     7.434     0.491
  553    -10.100     9.384     0.976
  554    -11.119     9.826     1.417
  555    -11.239     9.478     1.390
  556    -12.303     7.148     0.949
  557    -12.731     7.255     0.953
  558    -12.107     8.733     0.916
  559    -11.947     8.779     1.068
  560     -7.775    11.682     1.792
  561     -8.836     9.684     1.355
  562     -8.680    10.324     0.796
  563    -23.038     8.088     0.721
  564     -4.070     6.473     0.449
  565      0.000     0.000    -1.000
  566     -4.525     5.378     0.428
  567     -5.000     4.382     0.262
  568     -3.000     6.580     0.311
  569     -2.882     6.115     0.332
  570     -6.231     7.559     0.601
  571     -6.350     7.132     0.569
  572     -4.345     5.244     0.518
  573     -4.393     5.154     0.513
  574     -3.261    10.865     1.082
  575     -4.355    11.844     1.254
  576     -6.000     5.485     0.190
  577     -5.735     5.976     0.450
  578     -4.098     8.788     0.935
  579     -4.216     8.856     0.653
  580     -5.980     6.153     0.750
  581     -4.519     9.261     1.224
  582     -6.636     6.127     0.386
  583     -5.491     9.139     1.157
  584     -6.442     5.935     0.432
  585     -4.619     5.777     0.421
  586      0.000     0.000    -1.000
  587     -2.646    14.321     1.213
  588     -2.652     9.044     1.325
  589     -2.957     8.620     1.161
  590     -3.710    12.527     0.918
  591     -3.667    11.861     1.053
  592     -5.196    12.689     1.344
  593     -5.800    11.242     1.349
  594     -8.000     5.897     0.408
  595     -8.027     5.686     0.568
  596     -7.421     8.106     0.627
  597     -7.789     7.615     0.611
  598     -5.333     7.693     0.492
  599     -6.278     7.676     0.526
  600     -7.930     6.475     0.548
  601     -8.209     6.086     0.498
  602     -7.688     6.492     0.407
  603     -7.938     6.500     0.366
  604     -8.615     6.794     0.267
  605     -9.000     6.972     0.317
  606     -8.833     8.295     0.870
  607     -8.796     8.371     0.744
  608     -8.095     8.073     0.611
  609     -7.467     7.809     0.437
  610     -9.791     7.180     0.653
  611    -10.024     7.082     0.408
  612     -6.125     7.017     0.707
  613     -6.355     6.972     0.544
  614     -8.371     8.549     1.422
  615     -9.485     3.718     0.248
  616    -10.622     4.646     0.283
  617    -11.720     3.040     0.111
  618     -8.191     8.390     1.147
  619     -9.043     5.249     0.338
  620     -8.649     7.752     0.948
  621     -9.711     7.461     0.732
  622      0.000     0.000    -1.000
  623      0.000     0.000    -1.000
  624      0.000     0.000    -1.000
  625   -169.000     5.920     0.512
  626   -514.030     5.000     0.283
  627   -166.589     7.944     1.480
  628   -178.619     4.805     0.459
  629    161.407     7.242     1.458
  630   -173.836     8.499     1.237
  631    157.111     8.505     1.430
  632   -180.667     9.654     1.342
  633    159.291     8.076     0.932
  634   -178.702     9.658     1.501
  635    160.077     8.125     1.178
  636    151.333     9.158     0.456
  637      0.000     0.000    -1.000
  638    150.480     7.417     1.440
  639      0.000     0.000    -1.000
  640    149.436     8.644     0.971
  641      0.000     0.000    -1.000
  642      5.903     8.452     0.587
  643      5.000     7.466     0.781
  644      4.152     6.266     0.610
  645      5.114     7.153     0.813
  646      5.500     6.514     0.479
  647      5.889     8.842     0.919
  648      6.765    10.126     1.131
  649      7.039     9.905     1.329
  650      3.075     6.684     0.845
  651      4.356     9.053     1.369
  652      5.277     5.699     0.363
  653      6.048     7.460     0.815
  654      5.700     7.200     1.074
  655      6.016     8.984     1.217
  656      0.000     0.000    -1.000
  657      7.000     8.208     0.520
  658      6.333     4.925     0.109
  659      6.059     5.031     0.197
  660      5.769     7.105     0.814
  661      6.615     8.987     1.051
  662      6.750     8.210     1.270
  663      6.488     9.489     1.306
  664      5.308     5.325     0.311
  665      4.958     6.664     0.506
  666      3.844     5.172     0.236
  667      4.217     4.890     0.346
  668      5.596     6.765     0.388
  669      5.400     6.458     0.292
  670      6.480     5.597     0.449
  671      6.633     5.565     0.426
  672      9.999    12.939     1.668
  673      0.000     0.000    -1.000
  674      8.111     6.727     0.453
  675      0.000     0.000    -1.000
  676      8.077    10.195     0.912
  677      8.848    11.925     0.963
  678      8.158     8.772     0.927
  679      7.500     5.133     0.395
  680      0.000     0.000    -1.000
  681      0.000     0.000    -1.000
  682      0.000     0.000    -1.000
  683      4.286     4.876     0.252
  684      0.000     0.000    -1.000
  685      5.485     6.150     0.287
  686      6.059     6.999     0.599
  687      6.829     8.743     0.751
  688      8.130    10.421     0.724
  689      8.376    11.243     0.887
  690      6.526     7.461     0.605
  691      7.100     9.643     0.776
  692      0.000     0.000    -1.000
  693     10.029     8.341     0.531
  694      0.000     0.000    -1.000
  695      8.722     7.732     0.616
  696      8.357     7.559     0.713
  697      0.000     0.000    -1.000
  698      8.857    10.359     1.245
  699      0.000     0.000    -1.000
  700      0.000     0.000    -1.000
  701      9.500     6.370     0.318
  702      0.000     0.000    -1.000
  703      8.783     7.509     0.467
  704      0.000     0.000    -1.000
  705      9.842     8.380     0.662
  706     10.567     9.472     1.335
  707      8.797     6.993     0.932
  708     11.816    12.728     1.643
  709     14.499    13.108     1.563
  710     20.164    15.500     2.046
  711     13.214     9.671     0.929
  712      0.000     0.000    -1.000
  713     13.178     8.075     0.642
  714      0.000     0.000    -1.000
  715     13.039     9.551     0.991
  716      0.000     0.000    -1.000
  717     12.913     7.235     0.628
  718     13.851     5.099     0.274
  719      0.000     0.000    -1.000
  720     14.442     9.933     0.871
  721     11.722     6.517     0.149
  722      0.000     0.000    -1.000
  723     11.976     5.659     0.254
  724     13.457     8.465     0.937
  725     13.917     9.949     1.694
  726     14.225    12.175     1.831
  727     13.246    10.171     1.572
  728     13.421     8.523     1.135
  729     13.034     8.090     1.166
  730      0.000     0.000    -1.000
  731     12.303     8.116     0.897
  732      0.000     0.000    -1.000
  733     13.635     7.371     1.113
  734      0.000     0.000    -1.000
  735     11.400     7.218     0.973
  736      0.000     0.000    -1.000
  737     15.667     7.688     0.843
  738    -11.875     7.197     0.605
  739    -12.043     7.292     0.626
  740    -12.382     6.242     0.406
  741    -11.281     6.892     0.357
  742    -12.937     6.600     0.738
  743    -11.954     8.302     1.189
  744     -9.706     5.848     0.698
  745    -10.441     5.655     0.849
  746    -10.125     6.441     0.286
  747    -10.280     6.459     0.369
  748    -12.194     6.782     0.725
  749    -12.934     6.814     0.651
  750     -4.249    12.042     1.102
  751     -3.459    11.962     0.878
  752      2.804     5.228     0.429
  753      0.000     0.000    -1.000
  754     -3.522     6.344     0.352
  755     -3.241     5.521     0.221
  756     -5.415     6.866     0.360
  757     -5.615     7.088     0.407
  758     -3.913    10.465     1.075
