TABLE CalTimeCalib 123680
# corrections to  CalTimeCalib cid= XXX, to be subtracted 
# sipmid     dT      sigma      chi2
  887      0.000     0.000    -1.000
  888     10.200    10.704     0.925
  889      0.000     0.000    -1.000
  890      0.000     0.000    -1.000
  891     10.915    10.638     1.111
  892      0.000     0.000    -1.000
  893     10.434    10.861     1.223
  894      0.000     0.000    -1.000
  895      9.279     8.111     1.025
  896     10.852     7.043     0.659
  897     11.852     9.757     1.294
  898     10.333     6.254     0.642
  899     10.706     6.250     0.435
  900      0.000     0.000    -1.000
  901     10.517     5.500     0.450
  902      0.000     0.000    -1.000
  903     12.640     7.855     0.791
  904      0.000     0.000    -1.000
  905     12.774     7.348     1.150
  906     13.621     8.095     0.991
  907     13.316     6.410     0.525
  908      0.000     0.000    -1.000
  909      0.000     0.000    -1.000
  910     12.619     7.239     0.861
  911     12.742     7.016     0.837
  912     12.967    10.059     1.569
  913     12.763     8.558     0.944
  914     12.680     6.851     0.546
  915     12.647     6.741     0.717
  916      0.000     0.000    -1.000
  917     12.022     5.713     0.414
  918      0.000     0.000    -1.000
  919     11.635     7.974     0.966
  920      0.000     0.000    -1.000
  921     12.797     5.085     0.401
  922      0.000     0.000    -1.000
  923     13.508     7.082     0.837
  924    -12.705     6.812     0.523
  925    -12.710     6.861     0.515
  926    -12.311     8.281     0.592
  927    -12.458     8.181     0.771
  928    -11.678     6.552     0.283
  929    -10.714     8.484     0.802
  930     -9.800     6.032     0.355
  931    -10.152     5.741     0.265
  932     -9.640     5.035     0.160
  933    -10.000     4.885     0.273
  934     -9.308     6.579     0.334
  935     -8.500     8.612     0.637
  936    -18.569     6.688     0.698
  937    -11.836     8.400     1.354
  938     -3.979     5.594     0.365
  939     -3.000     8.699     0.899
  940     -3.367     6.358     0.328
  941     -3.694     6.162     0.218
  942     -4.679     6.455     0.793
  943     -4.660     6.404     0.748
  944     -3.681     6.315     0.803
  945     -3.889     6.793     0.839
  946     -1.762     8.651     0.925
  947     -0.659    10.792     1.076
  948     -5.122     9.817     1.230
  949     -5.440     8.315     0.945
  950     -4.412     6.030     0.542
  951      0.000     0.000    -1.000
  952     -3.387     6.670     0.210
  953     -4.517     6.961     0.352
  954     -4.395     6.506     0.506
  955     -4.581     6.047     0.382
  956     -4.714     7.947     1.235
  957     -5.089     7.876     0.904
  958     -4.954    10.926     0.986
  959     -6.350     8.478     0.632
  960     -4.739    10.619     1.084
  961     -4.319    10.576     1.133
  962     -5.186     9.516     0.880
  963     -6.641     6.926     0.352
  964     -4.961    10.621     1.537
  965     -4.500    10.697     1.682
  966     -7.071     6.080     0.289
  967     -8.133     6.168     0.335
  968     -7.743     7.059     0.455
  969     -7.667     7.393     0.571
  970     -7.905     7.834     0.789
  971     -6.857    10.210     1.419
  972     -5.800     8.777     1.041
  973     -7.045     5.283     0.205
  974     -6.143     7.548     1.014
  975     -6.628     7.837     1.026
  976     -8.333     5.718     0.390
  977     -7.326     8.472     1.156
  978     -8.636     7.808     1.436
  979     -6.805    10.592     1.921
  980     -8.611     9.693     1.156
  981     -7.973     9.284     1.258
  982     -8.818     6.027     0.325
  983      0.000     0.000    -1.000
  984     -7.031    13.959     1.661
  985     -8.395    11.931     1.511
  986     -7.976     5.483     0.350
  987     -7.683     5.770     0.402
  988    -10.238     6.996     0.654
  989     -9.977     7.025     0.671
  990     -9.098     4.695     0.258
  991     -7.977     7.286     1.216
  992    -10.556     5.209     0.247
  993    -10.486     5.179     0.243
  994      0.000     0.000    -1.000
  995      0.000     0.000    -1.000
  996     -6.722     8.846     1.396
  997     -8.429     2.664     0.156
  998     -8.509     7.632     1.536
  999     -9.491     4.528     0.206
 1000   -511.356     7.616     1.194
 1001   -165.240     9.168     1.557
 1002   -509.029     5.258     0.316
 1003   -166.549     7.309     1.261
 1004    147.868     6.318     0.775
 1005      0.000     0.000    -1.000
 1006    149.426     7.152     1.204
 1007      0.000     0.000    -1.000
 1008    149.680     6.243     0.698
 1009      0.000     0.000    -1.000
 1010    147.311     6.167     0.621
 1011      0.000     0.000    -1.000
 1012      5.516     8.300     0.908
 1013      4.932     6.302     0.486
 1014      5.343     5.082     0.554
 1015      5.208     5.779     1.121
 1016      6.000     9.899     0.599
 1017      6.538     9.468     0.692
 1018      7.000     8.674     1.177
 1019      5.618     6.380     0.471
 1020      5.338     7.175     0.788
 1021      6.155     8.247     1.026
 1022      6.639     7.821     1.205
 1023      5.983     5.277     0.612
 1024      4.379     5.524     0.466
 1025      3.982     8.232     1.130
 1026      6.053    14.133     2.472
 1027      4.091    10.724     1.530
 1028      5.241     7.287     0.686
 1029      5.386     7.092     0.680
 1030      6.511    10.381     1.486
 1031      6.000     9.160     1.256
 1032      0.000     0.000    -1.000
 1033      6.116     5.711     0.248
 1034      5.727     3.440     0.226
 1035      0.000     0.000    -1.000
 1036      0.000     0.000    -1.000
 1037      0.000     0.000    -1.000
 1038      0.000     0.000    -1.000
 1039      0.000     0.000    -1.000
 1040      6.857     4.373     0.225
 1041      5.833     4.793     0.294
 1042     10.315     9.462     1.197
 1043      9.300     8.724     0.559
 1044      0.000     0.000    -1.000
 1045      5.591     6.736     0.429
 1046      0.000     0.000    -1.000
 1047      5.278     7.411     0.430
 1048      0.000     0.000    -1.000
 1049      7.556     5.366     0.209
 1050      0.000     0.000    -1.000
 1051      7.743     7.722     0.713
 1052      7.815     5.114     0.193
 1053      8.500     5.605     0.242
 1054      9.875    10.173     0.860
 1055      8.677     6.034     0.369
 1056      0.000     0.000    -1.000
 1057      7.970     6.913     0.304
 1058      0.000     0.000    -1.000
 1059      9.429    10.507     0.544
 1060      0.000     0.000    -1.000
 1061     12.333     9.128     1.143
 1062     11.977    11.785     1.580
 1063      0.000     0.000    -1.000
 1064     10.028    12.294     1.019
 1065      0.000     0.000    -1.000
 1066     10.673    14.516     1.284
 1067      0.000     0.000    -1.000
 1068      0.000     0.000    -1.000
 1069     10.320     7.361     0.979
 1070      0.000     0.000    -1.000
 1071     12.095     5.891     0.336
 1072     10.731     5.306     0.612
 1073     11.296     5.516     0.708
 1074     13.439    10.145     1.198
 1075     11.095     7.076     0.537
 1076     11.000     6.113     0.635
 1077     10.442     6.644     0.661
 1078      0.000     0.000    -1.000
 1079     11.698     9.850     1.311
 1080      0.000     0.000    -1.000
 1081      9.154     8.994     0.331
 1082      0.000     0.000    -1.000
 1083     11.419     6.989     0.667
 1084      0.000     0.000    -1.000
 1085     14.615     8.376     0.994
 1086      0.000     0.000    -1.000
 1087     11.600     5.958     0.732
 1088      0.000     0.000    -1.000
 1089     10.333     6.375     0.828
 1090      0.000     0.000    -1.000
 1091     12.492     7.733     1.169
 1092    -10.312     6.075     0.229
 1093    -10.424     6.397     0.536
 1094    -11.594     6.497     0.429
 1095    -11.906     6.964     0.582
 1096    -11.319     9.489     1.149
 1097    -11.714     7.878     0.718
 1098    -11.138     8.677     0.735
 1099    -10.770     8.601     0.555
 1100    -11.314     6.608     0.794
 1101    -12.080     6.635     0.871
 1102     -1.983     6.242     0.728
 1103     -1.394     5.954     0.694
 1104     -4.654     7.603     1.128
 1105      0.000     0.000    -1.000
 1106      0.000     0.000    -1.000
 1107      0.000     0.000    -1.000
 1108     -6.000     8.732     0.731
 1109      0.000     0.000    -1.000
 1110     -4.579     7.870     0.551
 1111     -5.308     7.825     0.627
 1112     -3.050     7.993     0.624
 1113     -3.381     8.306     0.451
 1114     -3.387     6.062     0.303
 1115     -1.353    10.521     0.920
 1116     -4.733     7.430     0.915
 1117     -3.917     9.468     1.156
 1118     -6.533     8.240     0.895
 1119     -5.727     7.817     0.763
 1120     -2.780    11.984     1.370
 1121     -3.132    12.329     1.286
 1122     -6.286     9.194     0.558
 1123     -6.524     9.100     0.642
 1124     -2.391    10.753     0.945
 1125     -2.600     9.338     0.905
 1126     -6.526     9.077     0.875
 1127     -7.216     6.217     0.348
 1128     -7.158     6.145     0.363
 1129     -7.044     6.086     0.589
 1130     -4.742    11.746     1.254
 1131     -4.649    11.136     1.130
 1132     -6.771    10.012     0.941
 1133     -6.771     9.989     0.794
 1134     -9.615     6.519     0.529
 1135     -8.333     9.676     1.260
 1136     -6.500     7.749     0.908
 1137     -5.100     8.887     1.246
 1138     -5.627     8.274     1.207
 1139     -8.469     4.309     0.200
 1140     -7.571     4.540     0.292
 1141     -7.359     4.317     0.190
 1142     -9.933     7.199     1.012
 1143     -6.750    12.186     1.844
 1144     -5.954    12.467     1.738
 1145     -7.136    10.414     1.613
 1146     -8.744     5.225     0.164
 1147     -8.692     5.253     0.352
 1148     -9.809     7.953     1.420
 1149    -10.633     8.218     1.305
 1150      0.000     0.000    -1.000
 1151      0.000     0.000    -1.000
 1152     -8.750     7.217     0.755
 1153     -7.375     7.720     0.309
 1154     -9.391     5.383     0.473
 1155     -9.128     5.632     0.451
 1156     -6.564    11.664     1.584
 1157     -8.357     8.536     0.637
 1158     -6.571     7.660     1.248
 1159     -7.621     8.560     1.519
 1160    -10.770     6.028     0.928
 1161    -10.452     4.387     0.539
 1162    -10.270     5.313     0.479
 1163    -10.312     4.977     0.704
 1164      0.000     0.000    -1.000
 1165     15.066    25.518     2.224
 1166      4.667     8.698     1.266
 1167      4.019     8.455     1.215
 1168      5.383     5.229     0.351
 1169      6.592     7.687     0.752
 1170      5.816     5.713     0.239
 1171      6.333     5.632     0.356
 1172      7.000     8.515     0.525
 1173      0.000     0.000    -1.000
 1174      8.879     9.685     0.937
 1175      0.000     0.000    -1.000
 1176      8.044    10.761     1.265
 1177      0.000     0.000    -1.000
 1178      5.519     4.201     0.201
 1179      0.000     0.000    -1.000
 1180      5.471     6.616     0.612
 1181      0.000     0.000    -1.000
 1182      0.000     0.000    -1.000
 1183      0.000     0.000    -1.000
 1184      0.000     0.000    -1.000
 1185      8.045     9.615     1.338
 1186      0.000     0.000    -1.000
 1187      0.000     0.000    -1.000
 1188      0.000     0.000    -1.000
 1189      9.194     6.953     0.618
 1190      0.000     0.000    -1.000
 1191      7.273     4.681     0.240
 1192     12.040     5.882     0.318
 1193      8.917     4.142     0.052
 1194      0.000     0.000    -1.000
 1195      8.111     6.448     0.379
 1196      0.000     0.000    -1.000
 1197     11.741     9.383     0.639
 1198      0.000     0.000    -1.000
 1199     10.833     9.691     0.693
 1200     13.372     8.175     0.734
 1201      0.000     0.000    -1.000
 1202      7.471     9.367     0.838
 1203      0.000     0.000    -1.000
 1204      8.455     9.490     1.092
 1205      0.000     0.000    -1.000
 1206      0.000     0.000    -1.000
 1207      0.000     0.000    -1.000
 1208      0.000     0.000    -1.000
 1209     11.435     9.445     1.126
 1210      0.000     0.000    -1.000
 1211     10.875     5.498     0.393
 1212     10.920     5.864     0.463
 1213     11.043     5.634     0.588
 1214     11.875     8.514     0.810
 1215     11.625     8.288     1.096
 1216      0.000     0.000    -1.000
 1217     13.471     7.827     1.098
 1218      0.000     0.000    -1.000
 1219   -815.566    13.104     1.649
 1220     30.773    35.149     1.256
 1221     26.880    32.966     1.431
 1222     -4.550     9.649     0.631
 1223     -3.420    12.421     1.267
 1224     -1.878     6.942     0.633
 1225     -2.381     7.123     0.515
 1226     -4.200     6.161     0.283
 1227      0.000     0.000    -1.000
 1228     -4.692     8.045     0.552
 1229      0.000     0.000    -1.000
 1230     -2.905    10.392     1.336
 1231     -4.949     8.045     0.901
 1232      0.000     0.000    -1.000
 1233      0.000     0.000    -1.000
 1234     -5.773     6.370     0.492
 1235     -4.702     8.962     0.866
 1236     -4.949     8.244     0.411
 1237     -4.487     8.409     0.567
 1238     -3.746    12.478     1.008
 1239     -4.538    11.703     0.992
 1240     -4.333     9.807     1.101
 1241     -4.544     9.595     0.920
 1242     -8.029     6.091     0.288
 1243     -7.595     6.800     0.389
 1244     -6.939     6.466     0.219
 1245     -7.061     6.020     0.186
 1246     -8.071     5.593     0.246
 1247     -7.000     5.789     0.289
 1248     -8.543     6.711     0.671
 1249     -9.182     6.464     0.685
 1250     -6.312     5.040     0.290
 1251      0.000     0.000    -1.000
 1252     -7.250     4.199     0.150
 1253     -7.923     4.364     0.156
 1254     -8.043     4.368     0.203
 1255      0.000     0.000    -1.000
 1256     -8.592     7.494     1.318
 1257     -9.653     4.108     0.186
 1258     -7.898     7.549     1.215
 1259     -8.347     7.701     1.105
 1260     -8.118     4.732     0.347
 1261     -5.594    10.386     1.244
 1262    -10.542     7.316     0.978
 1263    -10.837     7.579     1.061
 1264    -10.686     7.652     0.932
 1265    -10.551     7.722     0.841
 1266      0.000     0.000    -1.000
 1267      0.000     0.000    -1.000
 1268    -10.878     6.012     0.308
 1269      0.000     0.000    -1.000
 1270    -10.702     6.677     0.617
 1271    -10.956     6.726     0.568
 1272     -8.410     8.385     1.067
 1273     -7.034    10.529     1.416
 1274      7.818    24.556     2.280
 1275     12.689    27.258     2.230
 1276      7.444     8.858     0.694
 1277      0.000     0.000    -1.000
 1278      5.400     3.072     0.064
 1279      0.000     0.000    -1.000
 1280      6.042     6.284     0.363
 1281      0.000     0.000    -1.000
 1282      4.190     6.929     0.540
 1283      0.000     0.000    -1.000
 1284      4.850     6.283     0.675
 1285      0.000     0.000    -1.000
 1286      0.000     0.000    -1.000
 1287      5.095     6.545     0.456
 1288      5.444     5.833     0.258
 1289   -506.364     4.950     0.273
 1290      6.100     5.949     0.468
 1291   -504.412     5.347     0.338
 1292      0.000     0.000    -1.000
 1293      7.000     4.928     0.413
 1294      0.000     0.000    -1.000
 1295     10.400     8.407     0.794
 1296      0.000     0.000    -1.000
 1297      0.000     0.000    -1.000
 1298     11.579     6.804     0.525
 1299      0.000     0.000    -1.000
 1300      8.829     7.351     0.650
 1301      0.000     0.000    -1.000
 1302      0.000     0.000    -1.000
 1303     10.962    14.319     1.451
 1304      0.000     0.000    -1.000
 1305     11.047     8.907     0.947
 1306      0.000     0.000    -1.000
 1307      9.514     8.118     0.700
 1308     11.000     7.467     0.416
 1309     11.235     7.573     0.403
 1310     10.467     5.049     0.278
 1311     10.318     5.607     0.311
 1312     -6.438     7.891     0.546
 1313      0.000     0.000    -1.000
 1314     -2.091    10.705     1.209
 1315     -2.721    11.045     1.113
 1316     -4.650     8.542     1.432
 1317     -4.692     8.407     1.303
 1318     -5.632     9.537     0.340
 1319     -4.756     8.063     0.810
 1320     -2.810     6.261     0.533
 1321     -3.737     6.214     0.373
 1322     -2.838     6.840     0.430
 1323     -3.421     6.714     0.445
 1324     -1.625     7.304     0.351
 1325     -2.333     7.613     0.656
 1326     -5.976     8.025     0.576
 1327     -4.911    10.582     1.217
 1328     -4.657     5.503     0.337
 1329     -4.371     6.211     0.405
 1330      0.000     0.000    -1.000
 1331     -7.765     5.531     0.640
 1332     -9.914     4.976     0.399
 1333     -9.333     5.022     0.452
 1334     -9.273     5.353     0.260
 1335     -9.311     5.281     0.241
 1336     -8.514     3.760     0.286
 1337     -8.421     4.126     0.396
 1338     -7.324     9.070     1.238
 1339     -8.086     4.312     0.249
 1340     -9.857     4.859     0.339
 1341     -9.167     7.837     0.834
 1342     -9.696     4.759     0.277
 1343     -9.800     4.778     0.209
 1344    -10.704     6.126     0.521
 1345    -10.095     6.402     0.585
 1346    -10.188     6.161     0.607
 1347      0.000     0.000    -1.000
 1348      0.000     0.000    -1.000
 1349      0.000     0.000    -1.000
 1350      0.000     0.000    -1.000
 1351      0.000     0.000    -1.000
 1352      0.000     0.000    -1.000
 1353      0.000     0.000    -1.000
 1354      0.000     0.000    -1.000
 1355      0.000     0.000    -1.000
 1356      0.000     0.000    -1.000
 1357      0.000     0.000    -1.000
 1358      0.000     0.000    -1.000
 1359      0.000     0.000    -1.000
 1360      0.000     0.000    -1.000
 1361      0.000     0.000    -1.000
 1362      0.000     0.000    -1.000
 1363      0.000     0.000    -1.000
 1364      0.000     0.000    -1.000
 1365      0.000     0.000    -1.000
 1366      0.000     0.000    -1.000
 1367      0.000     0.000    -1.000
 1368      0.000     0.000    -1.000
 1369      0.000     0.000    -1.000
 1370      0.000     0.000    -1.000
 1371      0.000     0.000    -1.000
 1372      0.000     0.000    -1.000
 1373      0.000     0.000    -1.000
 1374      0.000     0.000    -1.000
 1375      0.000     0.000    -1.000
 1376      0.000     0.000    -1.000
 1377      0.000     0.000    -1.000
 1378      0.000     0.000    -1.000
 1379      0.000     0.000    -1.000
 1380      0.000     0.000    -1.000
 1381      0.000     0.000    -1.000
 1382      0.000     0.000    -1.000
 1383      0.000     0.000    -1.000
 1384      0.000     0.000    -1.000
 1385      0.000     0.000    -1.000
 1386      0.000     0.000    -1.000
 1387      0.000     0.000    -1.000
 1388      0.000     0.000    -1.000
 1389      0.000     0.000    -1.000
 1390      0.000     0.000    -1.000
 1391      0.000     0.000    -1.000
 1392      0.000     0.000    -1.000
 1393      0.000     0.000    -1.000
 1394      0.000     0.000    -1.000
 1395      0.000     0.000    -1.000
 1396      0.000     0.000    -1.000
 1397      0.000     0.000    -1.000
 1398      0.000     0.000    -1.000
 1399      0.000     0.000    -1.000
 1400     -0.455     6.927     0.489
 1401      0.000     0.000    -1.000
 1402      0.000     0.000    -1.000
 1403      0.000     0.000    -1.000
 1404      0.000     0.000    -1.000
 1405      0.000     0.000    -1.000
 1406      0.000     0.000    -1.000
 1407      0.000     0.000    -1.000
 1408      0.000     0.000    -1.000
 1409      0.000     0.000    -1.000
 1410      0.000     0.000    -1.000
 1411      0.000     0.000    -1.000
 1412      0.000     0.000    -1.000
 1413      0.000     0.000    -1.000
 1414      0.000     0.000    -1.000
 1415      0.000     0.000    -1.000
 1416      0.000     0.000    -1.000
 1417      0.000     0.000    -1.000
 1418      0.000     0.000    -1.000
 1419     11.769     6.588     0.451
 1420      0.000     0.000    -1.000
 1421     17.343    12.235     0.660
 1422      0.000     0.000    -1.000
 1423      0.000     0.000    -1.000
 1424      0.000     0.000    -1.000
 1425      0.000     0.000    -1.000
 1426      0.000     0.000    -1.000
 1427      0.000     0.000    -1.000
 1428      0.000     0.000    -1.000
 1429      0.000     0.000    -1.000
 1430      0.000     0.000    -1.000
 1431      0.000     0.000    -1.000
 1432      0.000     0.000    -1.000
 1433      0.000     0.000    -1.000
 1434      0.000     0.000    -1.000
 1435     11.308     7.475     0.404
 1436      0.000     0.000    -1.000
 1437      0.000     0.000    -1.000
 1438      0.000     0.000    -1.000
 1439      0.000     0.000    -1.000
 1440      0.000     0.000    -1.000
 1441      0.000     0.000    -1.000
 1442      0.000     0.000    -1.000
 1443      0.000     0.000    -1.000
 1444     -9.000     6.164     0.283
 1445     -9.667     6.445     0.305
 1446    -12.077     6.592     0.278
 1447      0.000     0.000    -1.000
 1448      0.000     0.000    -1.000
 1449      0.000     0.000    -1.000
 1450      0.000     0.000    -1.000
 1451      0.000     0.000    -1.000
 1452      0.000     0.000    -1.000
 1453      0.000     0.000    -1.000
 1454      0.000     0.000    -1.000
 1455      0.000     0.000    -1.000
 1456      0.000     0.000    -1.000
 1457      0.000     0.000    -1.000
 1458      0.000     0.000    -1.000
 1459      0.000     0.000    -1.000
 1460      0.000     0.000    -1.000
 1461      0.000     0.000    -1.000
 1462      0.000     0.000    -1.000
 1463      0.000     0.000    -1.000
 1464      0.000     0.000    -1.000
 1465      0.000     0.000    -1.000
 1466      0.000     0.000    -1.000
 1467      0.000     0.000    -1.000
 1468      0.000     0.000    -1.000
 1469      0.000     0.000    -1.000
 1470      0.000     0.000    -1.000
 1471      0.000     0.000    -1.000
 1472      0.000     0.000    -1.000
 1473      0.000     0.000    -1.000
 1474      0.000     0.000    -1.000
 1475      0.000     0.000    -1.000
 1476      0.000     0.000    -1.000
 1477      0.000     0.000    -1.000
 1478      0.000     0.000    -1.000
 1479      0.000     0.000    -1.000
 1480      0.000     0.000    -1.000
 1481      0.000     0.000    -1.000
 1482      0.000     0.000    -1.000
 1483      0.000     0.000    -1.000
 1484      0.000     0.000    -1.000
 1485      0.000     0.000    -1.000
 1486      0.000     0.000    -1.000
 1487      0.000     0.000    -1.000
 1488      0.000     0.000    -1.000
 1489      0.000     0.000    -1.000
 1490      0.000     0.000    -1.000
 1491      0.000     0.000    -1.000
 1492      0.000     0.000    -1.000
 1493      7.287    11.684     0.571
 1494      0.000     0.000    -1.000
 1495      0.000     0.000    -1.000
 1496      0.000     0.000    -1.000
 1497      4.636     3.699     0.086
 1498      0.000     0.000    -1.000
 1499      0.000     0.000    -1.000
 1500      0.000     0.000    -1.000
 1501      0.000     0.000    -1.000
 1502      0.000     0.000    -1.000
 1503      0.000     0.000    -1.000
 1504      0.000     0.000    -1.000
 1505      0.000     0.000    -1.000
 1506      0.000     0.000    -1.000
 1507      0.000     0.000    -1.000
 1508      0.000     0.000    -1.000
 1509      0.000     0.000    -1.000
 1510      0.000     0.000    -1.000
 1511      0.000     0.000    -1.000
 1512      0.000     0.000    -1.000
 1513      0.000     0.000    -1.000
 1514      0.000     0.000    -1.000
 1515      0.000     0.000    -1.000
 1516      0.000     0.000    -1.000
 1517      0.000     0.000    -1.000
 1518      0.000     0.000    -1.000
 1519      0.000     0.000    -1.000
 1520      0.000     0.000    -1.000
 1521      0.000     0.000    -1.000
 1522      0.000     0.000    -1.000
 1523      0.000     0.000    -1.000
 1524      0.000     0.000    -1.000
 1525      0.000     0.000    -1.000
 1526      0.000     0.000    -1.000
 1527      0.000     0.000    -1.000
 1528      0.000     0.000    -1.000
 1529      0.000     0.000    -1.000
 1530      0.000     0.000    -1.000
 1531      0.000     0.000    -1.000
 1532      0.000     0.000    -1.000
 1533      0.000     0.000    -1.000
 1534      0.000     0.000    -1.000
 1535     16.273     5.545     0.445
 1536      0.000     0.000    -1.000
 1537      0.000     0.000    -1.000
 1538      0.000     0.000    -1.000
 1539      0.000     0.000    -1.000
 1540      0.000     0.000    -1.000
 1541      0.000     0.000    -1.000
 1542      0.000     0.000    -1.000
 1543      0.000     0.000    -1.000
 1544      0.000     0.000    -1.000
 1545      0.000     0.000    -1.000
 1546      0.000     0.000    -1.000
 1547      0.000     0.000    -1.000
 1548      0.000     0.000    -1.000
 1549      0.000     0.000    -1.000
 1550      0.000     0.000    -1.000
 1551      0.000     0.000    -1.000
 1552      0.000     0.000    -1.000
 1553      0.000     0.000    -1.000
 1554      0.000     0.000    -1.000
 1555      0.000     0.000    -1.000
 1556      0.000     0.000    -1.000
 1557      0.000     0.000    -1.000
 1558      0.000     0.000    -1.000
 1559      0.000     0.000    -1.000
 1560      0.000     0.000    -1.000
 1561      0.000     0.000    -1.000
 1562      0.000     0.000    -1.000
 1563      0.000     0.000    -1.000
 1564      0.000     0.000    -1.000
 1565      0.000     0.000    -1.000
 1566      0.000     0.000    -1.000
 1567      0.000     0.000    -1.000
 1568      0.000     0.000    -1.000
 1569      0.000     0.000    -1.000
 1570      0.000     0.000    -1.000
 1571      0.000     0.000    -1.000
 1572     -4.000     5.079     0.215
 1573      0.000     0.000    -1.000
 1574      0.000     0.000    -1.000
 1575      0.000     0.000    -1.000
 1576      0.000     0.000    -1.000
 1577      0.000     0.000    -1.000
 1578      0.000     0.000    -1.000
 1579     -3.000     6.239     0.274
 1580      0.000     0.000    -1.000
 1581      0.000     0.000    -1.000
 1582      0.000     0.000    -1.000
 1583      0.000     0.000    -1.000
 1584      0.000     0.000    -1.000
 1585      0.000     0.000    -1.000
 1586      0.000     0.000    -1.000
 1587      0.000     0.000    -1.000
 1588      0.000     0.000    -1.000
 1589      0.000     0.000    -1.000
 1590      0.000     0.000    -1.000
 1591      0.000     0.000    -1.000
 1592      0.000     0.000    -1.000
 1593      0.000     0.000    -1.000
 1594      0.000     0.000    -1.000
 1595      0.000     0.000    -1.000
 1596      0.000     0.000    -1.000
 1597      0.000     0.000    -1.000
 1598      0.000     0.000    -1.000
 1599      0.000     0.000    -1.000
 1600      0.000     0.000    -1.000
 1601      0.000     0.000    -1.000
 1602      0.000     0.000    -1.000
 1603      0.000     0.000    -1.000
 1604      0.000     0.000    -1.000
 1605      0.000     0.000    -1.000
 1606      0.000     0.000    -1.000
 1607      0.000     0.000    -1.000
 1608      0.000     0.000    -1.000
 1609      0.000     0.000    -1.000
 1610      0.000     0.000    -1.000
 1611      0.000     0.000    -1.000
 1612      0.000     0.000    -1.000
 1613      0.000     0.000    -1.000
 1614      0.000     0.000    -1.000
 1615      0.000     0.000    -1.000
 1616      0.000     0.000    -1.000
 1617      0.000     0.000    -1.000
 1618      0.000     0.000    -1.000
 1619      0.000     0.000    -1.000
 1620      0.000     0.000    -1.000
 1621      0.000     0.000    -1.000
 1622     -7.455    12.545     0.648
 1623      0.000     0.000    -1.000
 1624      0.000     0.000    -1.000
 1625      0.000     0.000    -1.000
 1626      0.000     0.000    -1.000
 1627      0.000     0.000    -1.000
 1628     -7.267     6.060     0.140
 1629     -7.000     5.888     0.202
 1630      0.000     0.000    -1.000
 1631      0.000     0.000    -1.000
 1632     -6.231     5.055     0.365
 1633     -6.077     4.614     0.143
 1634     -7.167     4.277     0.237
 1635     -7.000     4.242     0.096
 1636      0.000     0.000    -1.000
 1637      0.000     0.000    -1.000
 1638      0.000     0.000    -1.000
 1639      0.000     0.000    -1.000
 1640      0.000     0.000    -1.000
 1641      0.000     0.000    -1.000
 1642      0.000     0.000    -1.000
 1643      0.000     0.000    -1.000
 1644      0.000     0.000    -1.000
 1645      0.000     0.000    -1.000
 1646     -0.455     7.488     0.351
 1647      0.000     0.000    -1.000
 1648      0.000     0.000    -1.000
 1649      0.000     0.000    -1.000
 1650      0.000     0.000    -1.000
 1651      0.000     0.000    -1.000
 1652      0.000     0.000    -1.000
 1653      0.000     0.000    -1.000
 1654     10.504    12.177     0.716
 1655     10.841    12.678     0.642
 1656      0.000     0.000    -1.000
 1657      0.000     0.000    -1.000
 1658      0.000     0.000    -1.000
 1659      0.000     0.000    -1.000
 1660      0.000     0.000    -1.000
 1661      0.000     0.000    -1.000
 1662      0.000     0.000    -1.000
 1663      0.000     0.000    -1.000
 1664      0.000     0.000    -1.000
 1665      0.000     0.000    -1.000
 1666      0.000     0.000    -1.000
 1667      0.000     0.000    -1.000
 1668      0.000     0.000    -1.000
 1669      0.000     0.000    -1.000
 1670      0.000     0.000    -1.000
 1671      0.000     0.000    -1.000
 1672      0.000     0.000    -1.000
 1673      0.000     0.000    -1.000
 1674      0.000     0.000    -1.000
 1675      0.000     0.000    -1.000
 1676      0.000     0.000    -1.000
 1677      0.000     0.000    -1.000
 1678      0.000     0.000    -1.000
 1679      0.000     0.000    -1.000
 1680      0.000     0.000    -1.000
 1681      0.000     0.000    -1.000
 1682      0.000     0.000    -1.000
 1683      0.000     0.000    -1.000
 1684      0.000     0.000    -1.000
 1685      0.000     0.000    -1.000
 1686      0.000     0.000    -1.000
 1687      0.000     0.000    -1.000
 1688      0.000     0.000    -1.000
 1689      0.000     0.000    -1.000
 1690      0.000     0.000    -1.000
 1691      0.000     0.000    -1.000
 1692      0.000     0.000    -1.000
 1693      0.000     0.000    -1.000
 1694      0.000     0.000    -1.000
 1695      0.000     0.000    -1.000
 1696      0.000     0.000    -1.000
 1697      0.000     0.000    -1.000
 1698      0.000     0.000    -1.000
 1699      0.000     0.000    -1.000
 1700      0.000     0.000    -1.000
 1701      0.000     0.000    -1.000
 1702      0.000     0.000    -1.000
 1703      0.000     0.000    -1.000
 1704      0.000     0.000    -1.000
 1705      0.000     0.000    -1.000
 1706      0.000     0.000    -1.000
 1707      0.000     0.000    -1.000
 1708      0.000     0.000    -1.000
 1709      0.000     0.000    -1.000
 1710      0.000     0.000    -1.000
 1711      0.000     0.000    -1.000
 1712      0.000     0.000    -1.000
 1713      0.000     0.000    -1.000
 1714      0.000     0.000    -1.000
 1715      0.000     0.000    -1.000
 1716      0.000     0.000    -1.000
 1717      0.000     0.000    -1.000
 1718      0.000     0.000    -1.000
 1719     15.571     5.678     0.265
 1720      0.000     0.000    -1.000
 1721      0.000     0.000    -1.000
