TABLE CRVTime  123660-123660
#  123660 cid 302
# channel,timeOffset
    0,   0.000
    1,  25.510
    2,   0.000
    3,  25.510
    4,   0.000
    5,  25.510
    6,   0.000
    7,  25.510
    8,   0.000
    9,  25.510
   10,   0.000
   11,  25.510
   12,   0.000
   13,  25.510
   14,   0.000
   15,  25.510
   16,   0.000
   17,  25.510
   18,   0.000
   19,  25.510
   20,   0.000
   21,  25.510
   22,   0.000
   23,  25.510
   24,   0.000
   25,  25.510
   26,   0.000
   27,  25.510
   28,   0.000
   29,  25.510
   30,   0.000
   31,  25.510
   32,  -0.004
   33,  26.450
   34,  -0.004
   35,  26.450
   36,  -0.004
   37,  26.450
   38,  -0.004
   39,  26.450
   40,  -0.004
   41,  26.450
   42,  -0.004
   43,  26.450
   44,  -0.004
   45,  26.450
   46,  -0.004
   47,  26.450
   48,  -0.004
   49,  26.450
   50,  -0.004
   51,  26.450
   52,  -0.004
   53,  26.450
   54,  -0.004
   55,  26.450
   56,  -0.004
   57,  26.450
   58,  -0.004
   59,  26.450
   60,  -0.004
   61,  26.450
   62,  -0.004
   63,  26.450
   64,   1.120
   65,  26.236
   66,   1.120
   67,  26.236
   68,   1.120
   69,  26.236
   70,   1.120
   71,  26.236
   72,   1.120
   73,  26.236
   74,   1.120
   75,  26.236
   76,   1.120
   77,  26.236
   78,   1.120
   79,  26.236
   80,   1.120
   81,  26.236
   82,   1.120
   83,  26.236
   84,   1.120
   85,  26.236
   86,   1.120
   87,  26.236
   88,   1.120
   89,  26.236
   90,   1.120
   91,  26.236
   92,   1.120
   93,  26.236
   94,   1.120
   95,  26.236
   96,   1.837
   97,  27.366
   98,   1.837
   99,  27.366
  100,   1.837
  101,  27.366
  102,   1.837
  103,  27.366
  104,   1.837
  105,  27.366
  106,   1.837
  107,  27.366
  108,   1.837
  109,  27.366
  110,   1.837
  111,  27.366
  112,   1.837
  113,  27.366
  114,   1.837
  115,  27.366
  116,   1.837
  117,  27.366
  118,   1.837
  119,  27.366
  120,   1.837
  121,  27.366
  122,   1.837
  123,  27.366
  124,   1.837
  125,  27.366
  126,   1.837
  127,  27.366
  128,  -7.372
  129,  25.368
  130,  -7.372
  131,  25.368
  132,  -7.372
  133,  25.368
  134,  -7.372
  135,  25.368
  136,  -7.372
  137,  25.368
  138,  -7.372
  139,  25.368
  140,  -7.372
  141,  25.368
  142,  -7.372
  143,  25.368
  144,  -7.372
  145,  25.368
  146,  -7.372
  147,  25.368
  148,  -7.372
  149,  25.368
  150,  -7.372
  151,  25.368
  152,  -7.372
  153,  25.368
  154,  -7.372
  155,  25.368
  156,  -7.372
  157,  25.368
  158,  -7.372
  159,  25.368
  160,  -6.377
  161,  25.528
  162,  -6.377
  163,  25.528
  164,  -6.377
  165,  25.528
  166,  -6.377
  167,  25.528
  168,  -6.377
  169,  25.528
  170,  -6.377
  171,  25.528
  172,  -6.377
  173,  25.528
  174,  -6.377
  175,  25.528
  176,  -6.377
  177,  25.528
  178,  -6.377
  179,  25.528
  180,  -6.377
  181,  25.528
  182,  -6.377
  183,  25.528
  184,  -6.377
  185,  25.528
  186,  -6.377
  187,  25.528
  188,  -6.377
  189,  25.528
  190,  -6.377
  191,  25.528
  192,  -5.853
  193,  25.782
  194,  -5.853
  195,  25.782
  196,  -5.853
  197,  25.782
  198,  -5.853
  199,  25.782
  200,  -5.853
  201,  25.782
  202,  -5.853
  203,  25.782
  204,  -5.853
  205,  25.782
  206,  -5.853
  207,  25.782
  208,  -5.853
  209,  25.782
  210,  -5.853
  211,  25.782
  212,  -5.853
  213,  25.782
  214,  -5.853
  215,  25.782
  216,  -5.853
  217,  25.782
  218,  -5.853
  219,  25.782
  220,  -5.853
  221,  25.782
  222,  -5.853
  223,  25.782
  224,  -4.925
  225,  26.646
  226,  -4.925
  227,  26.646
  228,  -4.925
  229,  26.646
  230,  -4.925
  231,  26.646
  232,  -4.925
  233,  26.646
  234,  -4.925
  235,  26.646
  236,  -4.925
  237,  26.646
  238,  -4.925
  239,  26.646
  240,  -4.925
  241,  26.646
  242,  -4.925
  243,  26.646
  244,  -4.925
  245,  26.646
  246,  -4.925
  247,  26.646
  248,  -4.925
  249,  26.646
  250,  -4.925
  251,  26.646
  252,  -4.925
  253,  26.646
  254,  -4.925
  255,  26.646
  256, 110.101
  257,  26.835
  258, 110.101
  259,  26.835
  260, 110.101
  261,  26.835
  262, 110.101
  263,  26.835
  264, 110.101
  265,  26.835
  266, 110.101
  267,  26.835
  268, 110.101
  269,  26.835
  270, 110.101
  271,  26.835
  272, 110.101
  273,  26.835
  274, 110.101
  275,  26.835
  276, 110.101
  277,  26.835
  278, 110.101
  279,  26.835
  280, 110.101
  281,  26.835
  282, 110.101
  283,  26.835
  284, 110.101
  285,  26.835
  286, 110.101
  287,  26.835
  288, 110.288
  289,  27.498
  290, 110.288
  291,  27.498
  292, 110.288
  293,  27.498
  294, 110.288
  295,  27.498
  296, 110.288
  297,  27.498
  298, 110.288
  299,  27.498
  300, 110.288
  301,  27.498
  302, 110.288
  303,  27.498
  304, 110.288
  305,  27.498
  306, 110.288
  307,  27.498
  308, 110.288
  309,  27.498
  310, 110.288
  311,  27.498
  312, 110.288
  313,  27.498
  314, 110.288
  315,  27.498
  316, 110.288
  317,  27.498
  318, 110.288
  319,  27.498
  320, 111.099
  321,  27.030
  322, 111.099
  323,  27.030
  324, 111.099
  325,  27.030
  326, 111.099
  327,  27.030
  328, 111.099
  329,  27.030
  330, 111.099
  331,  27.030
  332, 111.099
  333,  27.030
  334, 111.099
  335,  27.030
  336, 111.099
  337,  27.030
  338, 111.099
  339,  27.030
  340, 111.099
  341,  27.030
  342, 111.099
  343,  27.030
  344, 111.099
  345,  27.030
  346, 111.099
  347,  27.030
  348, 111.099
  349,  27.030
  350, 111.099
  351,  27.030
  352, 112.206
  353,  28.102
  354, 112.206
  355,  28.102
  356, 112.206
  357,  28.102
  358, 112.206
  359,  28.102
  360, 112.206
  361,  28.102
  362, 112.206
  363,  28.102
  364, 112.206
  365,  28.102
  366, 112.206
  367,  28.102
  368, 112.206
  369,  28.102
  370, 112.206
  371,  28.102
  372, 112.206
  373,  28.102
  374, 112.206
  375,  28.102
  376, 112.206
  377,  28.102
  378, 112.206
  379,  28.102
  380, 112.206
  381,  28.102
  382, 112.206
  383,  28.102
  384,  -0.100
  385,  26.594
  386,  -0.100
  387,  26.594
  388,  -0.100
  389,  26.594
  390,  -0.100
  391,  26.594
  392,  -0.100
  393,  26.594
  394,  -0.100
  395,  26.594
  396,  -0.100
  397,  26.594
  398,  -0.100
  399,  26.594
  400,  -0.100
  401,  26.594
  402,  -0.100
  403,  26.594
  404,  -0.100
  405,  26.594
  406,  -0.100
  407,  26.594
  408,  -0.100
  409,  26.594
  410,  -0.100
  411,  26.594
  412,  -0.100
  413,  26.594
  414,  -0.100
  415,  26.594
  416,   0.421
  417,  27.047
  418,   0.421
  419,  27.047
  420,   0.421
  421,  27.047
  422,   0.421
  423,  27.047
  424,   0.421
  425,  27.047
  426,   0.421
  427,  27.047
  428,   0.421
  429,  27.047
  430,   0.421
  431,  27.047
  432,   0.421
  433,  27.047
  434,   0.421
  435,  27.047
  436,   0.421
  437,  27.047
  438,   0.421
  439,  27.047
  440,   0.421
  441,  27.047
  442,   0.421
  443,  27.047
  444,   0.421
  445,  27.047
  446,   0.421
  447,  27.047
  448,   1.283
  449,  26.818
  450,   1.283
  451,  26.818
  452,   1.283
  453,  26.818
  454,   1.283
  455,  26.818
  456,   1.283
  457,  26.818
  458,   1.283
  459,  26.818
  460,   1.283
  461,  26.818
  462,   1.283
  463,  26.818
  464,   1.283
  465,  26.818
  466,   1.283
  467,  26.818
  468,   1.283
  469,  26.818
  470,   1.283
  471,  26.818
  472,   1.283
  473,  26.818
  474,   1.283
  475,  26.818
  476,   1.283
  477,  26.818
  478,   1.283
  479,  26.818
  480,   2.047
  481,  28.038
  482,   2.047
  483,  28.038
  484,   2.047
  485,  28.038
  486,   2.047
  487,  28.038
  488,   2.047
  489,  28.038
  490,   2.047
  491,  28.038
  492,   2.047
  493,  28.038
  494,   2.047
  495,  28.038
  496,   2.047
  497,  28.038
  498,   2.047
  499,  28.038
  500,   2.047
  501,  28.038
  502,   2.047
  503,  28.038
  504,   2.047
  505,  28.038
  506,   2.047
  507,  28.038
  508,   2.047
  509,  28.038
  510,   2.047
  511,  28.038
  512,  10.863
  513,  36.448
  514,  10.863
  515,  36.448
  516,  10.863
  517,  36.448
  518,  10.863
  519,  36.448
  520,  10.863
  521,  36.448
  522,  10.863
  523,  36.448
  524,  10.863
  525,  36.448
  526,  10.863
  527,  36.448
  528,  10.863
  529,  36.448
  530,  10.863
  531,  36.448
  532,  10.863
  533,  36.448
  534,  10.863
  535,  36.448
  536,  10.863
  537,  36.448
  538,  10.863
  539,  36.448
  540,  10.863
  541,  36.448
  542,  10.863
  543,  36.448
  544,  11.037
  545,  37.462
  546,  11.037
  547,  37.462
  548,  11.037
  549,  37.462
  550,  11.037
  551,  37.462
  552,  11.037
  553,  37.462
  554,  11.037
  555,  37.462
  556,  11.037
  557,  37.462
  558,  11.037
  559,  37.462
  560,  11.037
  561,  37.462
  562,  11.037
  563,  37.462
  564,  11.037
  565,  37.462
  566,  11.037
  567,  37.462
  568,  11.037
  569,  37.462
  570,  11.037
  571,  37.462
  572,  11.037
  573,  37.462
  574,  11.037
  575,  37.462
  576,  11.574
  577,  38.939
  578,  11.574
  579,  38.939
  580,  11.574
  581,  38.939
  582,  11.574
  583,  38.939
  584,  11.574
  585,  38.939
  586,  11.574
  587,  38.939
  588,  11.574
  589,  38.939
  590,  11.574
  591,  38.939
  592,  11.574
  593,  38.939
  594,  11.574
  595,  38.939
  596,  11.574
  597,  38.939
  598,  11.574
  599,  38.939
  600,  11.574
  601,  38.939
  602,  11.574
  603,  38.939
  604,  11.574
  605,  38.939
  606,  11.574
  607,  38.939
  608,  12.123
  609,  38.130
  610,  12.123
  611,  38.130
  612,  12.123
  613,  38.130
  614,  12.123
  615,  38.130
  616,  12.123
  617,  38.130
  618,  12.123
  619,  38.130
  620,  12.123
  621,  38.130
  622,  12.123
  623,  38.130
  624,  12.123
