TABLE CRVTime  123660-123660
#  123660 cid 303
# channel,timeOffset
  391,  26.728
  392,  -0.774
  393,  26.728
  394,  -0.774
  395,  26.728
  396,  -0.774
  397,  26.728
  398,  -0.774
  399,  26.728
  400,  -0.774
  401,  26.728
  402,  -0.774
  403,  26.728
  404,  -0.774
  405,  26.728
  406,  -0.774
  407,  26.728
  408,  -0.774
  409,  26.728
  410,  -0.774
  411,  26.728
  412,  -0.774
  413,  26.728
  414,  -0.774
  415,  26.728
  416,  -0.253
  417,  27.181
  418,  -0.253
  419,  27.181
  420,  -0.253
  421,  27.181
  422,  -0.253
  423,  27.181
  424,  -0.253
  425,  27.181
  426,  -0.253
  427,  27.181
  428,  -0.253
  429,  27.181
  430,  -0.253
  431,  27.181
  432,  -0.253
  433,  27.181
  434,  -0.253
  435,  27.181
  436,  -0.253
  437,  27.181
  438,  -0.253
  439,  27.181
  440,  -0.253
  441,  27.181
  442,  -0.253
  443,  27.181
  444,  -0.253
  445,  27.181
  446,  -0.253
  447,  27.181
  448,   0.609
  449,  26.952
  450,   0.609
  451,  26.952
  452,   0.609
  453,  26.952
  454,   0.609
  455,  26.952
  456,   0.609
  457,  26.952
  458,   0.609
  459,  26.952
  460,   0.609
  461,  26.952
  462,   0.609
  463,  26.952
  464,   0.609
  465,  26.952
  466,   0.609
  467,  26.952
  468,   0.609
  469,  26.952
  470,   0.609
  471,  26.952
  472,   0.609
  473,  26.952
  474,   0.609
  475,  26.952
  476,   0.609
  477,  26.952
  478,   0.609
  479,  26.952
  480,   1.373
  481,  28.172
  482,   1.373
  483,  28.172
  484,   1.373
  485,  28.172
  486,   1.373
  487,  28.172
  488,   1.373
  489,  28.172
  490,   1.373
  491,  28.172
  492,   1.373
  493,  28.172
  494,   1.373
  495,  28.172
  496,   1.373
  497,  28.172
  498,   1.373
  499,  28.172
  500,   1.373
  501,  28.172
  502,   1.373
  503,  28.172
  504,   1.373
  505,  28.172
  506,   1.373
  507,  28.172
  508,   1.373
  509,  28.172
  510,   1.373
  511,  28.172
  512,  10.741
  513,  34.521
  514,  10.741
  515,  34.521
  516,  10.741
  517,  34.521
  518,  10.741
  519,  34.521
