TABLE TrkAlignStraw
0, 00_0_00, 0.252000, 0.330000, 0.331000, 0.556000, 0.009000, 0.049000, 0.218000, 0.515000
1, 00_0_01, 0.230000, 0.423000, 0.280000, 0.781000, 0.124000, -0.063000, 0.263000, 0.386000
2, 00_0_02, 0.225000, 0.360000, 0.331000, 0.613000, -0.055000, -0.020000, 0.182000, 0.477000
3, 00_0_03, 0.215000, 0.414000, 0.316000, 0.754000, 0.071000, -0.023000, 0.274000, 0.394000
4, 00_0_04, 0.249000, 0.368000, 0.288000, 0.632000, 0.018000, 0.023000, 0.267000, 0.470000
5, 00_0_05, 0.224000, 0.449000, 0.268000, 0.758000, 0.073000, -0.022000, 0.247000, 0.424000
6, 00_0_06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 00_0_07, 0.212000, 0.381000, 0.284000, 0.744000, 0.039000, -0.056000, 0.264000, 0.434000
8, 00_0_08, 0.246000, 0.389000, 0.325000, 0.658000, -0.081000, 0.029000, 0.146000, 0.487000
9, 00_0_09, 0.231000, 0.424000, 0.292000, 0.730000, 0.112000, -0.016000, 0.241000, 0.446000
10, 00_0_10, 0.208000, 0.416000, 0.275000, 0.671000, -0.037000, 0.009000, 0.065000, 0.412000
11, 00_0_11, 0.180000, 0.406000, 0.249000, 0.700000, 0.009000, -0.045000, 0.223000, 0.411000
12, 00_0_12, 0.233000, 0.380000, 0.295000, 0.675000, -0.047000, 0.050000, 0.161000, 0.435000
13, 00_0_13, 0.234000, 0.354000, 0.285000, 0.665000, 0.113000, 0.034000, 0.237000, 0.425000
14, 00_0_14, 0.191000, 0.427000, 0.308000, 0.628000, -0.025000, -0.007000, 0.090000, 0.357000
15, 00_0_15, 0.211000, 0.343000, 0.298000, 0.614000, 0.044000, 0.039000, 0.247000, 0.452000
16, 00_0_16, 0.249000, 0.454000, 0.304000, 0.737000, 0.036000, 0.110000, 0.203000, 0.436000
17, 00_0_17, 0.241000, 0.406000, 0.284000, 0.687000, 0.153000, 0.128000, 0.219000, 0.513000
18, 00_0_18, 0.133000, 0.454000, 0.277000, 0.660000, -0.067000, 0.061000, 0.093000, 0.386000
19, 00_0_19, 0.152000, 0.362000, 0.272000, 0.617000, 0.031000, 0.141000, 0.284000, 0.518000
20, 00_0_20, 0.156000, 0.282000, 0.269000, 0.656000, -0.025000, 0.033000, 0.051000, 0.398000
21, 00_0_21, 0.208000, 0.340000, 0.271000, 0.600000, 0.066000, 0.121000, 0.213000, 0.505000
22, 00_0_22, 0.047000, 0.365000, 0.270000, 0.668000, -0.075000, 0.026000, 0.200000, 0.377000
23, 00_0_23, 0.134000, 0.312000, 0.275000, 0.608000, 0.061000, 0.169000, 0.259000, 0.546000
24, 00_0_24, 0.073000, 0.256000, 0.288000, 0.689000, -0.050000, 0.133000, 0.118000, 0.518000
25, 00_0_25, 0.183000, 0.338000, 0.300000, 0.566000, 0.084000, 0.180000, 0.316000, 0.495000
26, 00_0_26, 0.176000, 0.447000, 0.271000, 0.669000, 0.021000, 0.183000, 0.201000, 0.401000
27, 00_0_27, 0.215000, 0.380000, 0.295000, 0.574000, 0.164000, 0.186000, 0.251000, 0.518000
28, 00_0_28, 0.203000, 0.427000, 0.323000, 0.607000, 0.114000, 0.111000, 0.223000, 0.402000
29, 00_0_29, 0.222000, 0.337000, 0.328000, 0.512000, 0.159000, 0.172000, 0.359000, 0.521000
30, 00_0_30, 0.171000, 0.437000, 0.274000, 0.668000, 0.181000, 0.083000, 0.243000, 0.405000
31, 00_0_31, 0.186000, 0.376000, 0.281000, 0.533000, 0.104000, 0.222000, 0.313000, 0.499000
32, 00_0_32, 0.099000, 0.475000, 0.287000, 0.629000, 0.026000, 0.109000, 0.325000, 0.494000
33, 00_0_33, 0.181000, 0.321000, 0.259000, 0.612000, 0.078000, 0.202000, 0.246000, 0.692000
34, 00_0_34, 0.149000, 0.412000, 0.322000, 0.551000, 0.093000, 0.208000, 0.426000, 0.463000
35, 00_0_35, 0.132000, 0.407000, 0.309000, 0.612000, 0.141000, 0.229000, 0.348000, 0.485000
36, 00_0_36, 0.160000, 0.450000, 0.258000, 0.617000, 0.174000, 0.200000, 0.237000, 0.455000
37, 00_0_37, 0.167000, 0.365000, 0.264000, 0.591000, 0.172000, 0.230000, 0.358000, 0.532000
38, 00_0_38, 0.108000, 0.418000, 0.223000, 0.691000, 0.132000, 0.200000, 0.133000, 0.511000
39, 00_0_39, 0.157000, 0.399000, 0.292000, 0.612000, 0.197000, 0.170000, 0.375000, 0.550000
40, 00_0_40, 0.206000, 0.375000, 0.327000, 0.534000, 0.264000, 0.199000, 0.393000, 0.372000
41, 00_0_41, 0.179000, 0.378000, 0.318000, 0.592000, 0.285000, 0.157000, 0.437000, 0.452000
42, 00_0_42, 0.177000, 0.415000, 0.308000, 0.552000, 0.209000, 0.134000, 0.445000, 0.618000
43, 00_0_43, 0.163000, 0.410000, 0.302000, 0.598000, 0.127000, 0.232000, 0.437000, 0.352000
