TABLE TrkAlignPanel 1-122273
    0,     0_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    1,     0_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    2,     0_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    3,     0_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    4,     0_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    5,     0_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    6,     1_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    7,     1_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    8,     1_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
    9,     1_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   10,     1_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   11,     1_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   12,     2_0_0,  0.000000,  0.042387,  0.315699, -0.001385,  0.000123,  0.000729
   13,     2_1_0,  0.000000, -0.556371,  0.014706, -0.003453, -0.001442,  0.000419
   14,     2_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   15,     2_3_0,  0.000000,  0.157309,  0.437877, -0.001692,  0.001530, -0.000915
   16,     2_4_0,  0.000000, -0.596871, -0.071317,  0.001199,  0.001173, -0.000472
   17,     2_5_0,  0.000000, -0.236239, -0.208192, -0.000088,  0.000305,  0.000754
   18,     3_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   19,     3_1_0,  0.000000, -0.338336, -0.048269,  0.002229,  0.000465,  0.000196
   20,     3_2_0,  0.000000,  0.269091,  0.206530, -0.000369,  0.000853, -0.001418
   21,     3_3_0,  0.000000,  0.368603,  0.036434,  0.000105, -0.000797, -0.000818
   22,     3_4_0,  0.000000, -0.477685, -0.111245, -0.001628, -0.000779,  0.000738
   23,     3_5_0,  0.000000,  0.248178,  0.107120, -0.000814,  0.000968, -0.000061
